Head,Relation,Tail,Text,Label
immunity,related_to,covid-19,immunity to covid-19 is probably higher than tests have shown,Association
in-cell elisa,studies,neutralizing antibodies,a novel in-cell elisa assay allows rapid and automated quantification of sars-cov-2 to analyze neutralizing antibodies and antiviral compounds,Research-Test
in-cell elisa,studies,antiviral compounds,a novel in-cell elisa assay allows rapid and automated quantification of sars-cov-2 to analyze neutralizing antibodies and antiviral compounds,Research-Test
balaji s. srinivasan,isa,stanford professor,stanford professor balaji s. srinivasan's peer review of the santa clara seroprevalence study indicates that its high reported positive rate results may be explained by the false positive rate of the test and/or by sample recruitment issues,Others
balaji s. srinivasan,studies,peer review of the santa clara seroprevalence study,stanford professor balaji s. srinivasan's peer review of the santa clara seroprevalence study indicates that its high reported positive rate results may be explained by the false positive rate of the test and/or by sample recruitment issues,Research-Test
santa clara,studies,seroprevalence,stanford professor balaji s. srinivasan's peer review of the santa clara seroprevalence study indicates that its high reported positive rate results may be explained by the false positive rate of the test and/or by sample recruitment issues,Research-Test
santa clara seroprevalence study,announces,positive rate results,stanford professor balaji s. srinivasan's peer review of the santa clara seroprevalence study indicates that its high reported positive rate results may be explained by the false positive rate of the test and/or by sample recruitment issues,Discovery-Validation
false positive rate of the test,causes,positive rate results,stanford professor balaji s. srinivasan's peer review of the santa clara seroprevalence study indicates that its high reported positive rate results may be explained by the false positive rate of the test and/or by sample recruitment issues,Cause-Effect
sample recruitment issues,causes,positive rate results,stanford professor balaji s. srinivasan's peer review of the santa clara seroprevalence study indicates that its high reported positive rate results may be explained by the false positive rate of the test and/or by sample recruitment issues,Cause-Effect
fda,announces,emergency use authorization,fda takes key action in fight against covid-19 by issuing emergency use authorization for first covid-19 vaccine,Discovery-Validation
emergency use authorization,related_to,covid-19 vaccine,fda takes key action in fight against covid-19 by issuing emergency use authorization for first covid-19 vaccine,Association
fda,approves,crispr sars-cov-2 rapid diagnostic,sherlock biosciences receives fda emergency use authorization for crispr sars-cov-2 rapid diagnostic,Regulation
lipoic acid,affects,response,lipoic acid helps response in g6pd population,Cause-Effect
response,related_to,g6pd population,lipoic acid helps response in g6pd population,Association
sars-cov-2 in-vitro neutralization assay,shows,inhibition of virus entry by iota-carrageenan,sars-cov-2 in-vitro neutralization assay reveals inhibition of virus entry by iota-carrageenan,Discovery-Validation
iota-carrageenan,inhibits,virus entry,sars-cov-2 in-vitro neutralization assay reveals inhibition of virus entry by iota-carrageenan,Cause-Effect
ciclesonide,prevents,coronavirus rna replication,the inhaled corticosteroid ciclesonide blocks coronavirus rna replication by targeting viral nsp15,Cause-Effect
mathematical analysis,studies,cordoba calcifediol trial,mathematical analysis of cordoba calcifediol trial suggests strong role for vitamin d in reducing icu admissions of hospitalized covid-19 patients,Research-Test
vitamin d,affects,icu admissions,mathematical analysis of cordoba calcifediol trial suggests strong role for vitamin d in reducing icu admissions of hospitalized covid-19 patients,Cause-Effect
icu admissions,related_to,hospitalized covid-19 patients,mathematical analysis of cordoba calcifediol trial suggests strong role for vitamin d in reducing icu admissions of hospitalized covid-19 patients,Association
cellphone-recorded coughs,helps,artificial intelligence model,artificial intelligence model detects asymptomatic covid-19 infections through cellphone-recorded coughs,Provision-Support
stanford researchers,tests,"3,200 people","stanford researchers test 3,200 people for covid-19 antibodies",Research-Test
different mutations in sars-cov-2,association,mild outcome,different mutations in sars-cov-2 associate with severe and mild outcome,Association
moderna,improves,late-stage development,moderna advances late-stage development of its vaccine against covid-19,Cause-Effect
mathematical modeling,studies,lung and nasal passages,mathematical modeling explains differential sars-cov-2 kinetics in lung and nasal passages in remdesivir-treated rhesus macaques,Research-Test
remdesivir,treats,sars-cov-2,mathematical modeling explains differential sars-cov-2 kinetics in lung and nasal passages in remdesivir-treated rhesus macaques,Treatment
fda,develops,saliva-based test kit,fda gives eua to saliva-based test kit,Research-Test
sars-cov-2 infection,increase,seasonal human coronavirus antibodies,seasonal human coronavirus antibodies are boosted upon sars-cov-2 infection but not associated with protection,Cause-Effect
seasonal human coronavirus antibodies,association,protection,seasonal human coronavirus antibodies are boosted upon sars-cov-2 infection but not associated with protection,Association
nationwide representative screening,studies,preliminary results,preliminary results of nationwide representative screening are out,Research-Test
electrostatic spraying,increase,spread of covid-19,electrostatic spraying will prevent the spread of covid-19.,Cause-Effect
severe covid-19,related_to,faulty genes,scientists trace severe covid-19 to faulty genes and autoimmune condition.,Association
severe covid-19,related_to,autoimmune condition,scientists trace severe covid-19 to faulty genes and autoimmune condition.,Association
uv-emitting led lights,affects,coronavirus,uv-emitting led lights found to kill coronavirus efficiently and cheaply.,Cause-Effect
coronavirus spike,affects,infectivity,covid-19 coronavirus spike holds infectivity details.,Cause-Effect
quantitative assays,studies,cell fusion,quantitative assays reveal cell fusion at minimal levels of sars-cov-2 spike protein and fusion-from-without.,Research-Test
sars-cov-2 spike protein,related_to,cell fusion,quantitative assays reveal cell fusion at minimal levels of sars-cov-2 spike protein and fusion-from-without.,Association
fusion-from-without,related_to,cell fusion,quantitative assays reveal cell fusion at minimal levels of sars-cov-2 spike protein and fusion-from-without.,Association
spike glycoprotein,related_to,furin-like cleavage site,the spike glycoprotein of the new coronavirus 2019-ncov contains a furin-like cleavage site absent in cov of the same clade.,Association
covid-19 antibody test,affects,nearly 100% accuracy,breakthrough covid-19 antibody test with nearly 100% accuracy can help reopen economy.,Cause-Effect
coronavirus endoribonuclease,related_to,viral polyuridine sequences,coronavirus endoribonuclease targets viral polyuridine sequences to evade activating host sensors.,Association
pyridoxal 5'-phosphate,affects,immune dysregulation,pyridoxal 5'-phosphate to mitigate immune dysregulation and coagulopathy in covid-19.,Cause-Effect
pyridoxal 5'-phosphate,affects,coagulopathy,pyridoxal 5'-phosphate to mitigate immune dysregulation and coagulopathy in covid-19.,Cause-Effect
infants,related_to,antibodies,antibodies in infants born to mothers with covid-19 pneumonia.,Association
mothers with covid-19 pneumonia,related_to,antibodies,antibodies in infants born to mothers with covid-19 pneumonia.,Association
higher temperatures,association,lower incidence of covid-19,"preliminary evidence that higher temperatures are associated with lower incidence of covid-19, for cases reported globally up to 29th february 2020.",Association
fda,assesses,coronavirus vaccine,the fda weighs its first coronavirus vaccine.,Research-Test
severe covid-19,causes,venous thromboembolic events,high incidence of venous thromboembolic events in anticoagulated severe covid-19 patients.,Cause-Effect
moderna,develops,covid-19 vaccine supply,moderna provides covid-19 vaccine supply update.,Research-Test
asymptomatic traveler,causes,large sars-cov-2 outbreak,"large sars-cov-2 outbreak caused by asymptomatic traveler, china.",Cause-Effect
clinical trials,tests,coronavirus treatments,more than 80 clinical trials launch to test coronavirus treatments.,Research-Test
hydroxychloroquine,prevents,covid-19,hydroxychloroquine fails to prevent covid-19.,Cause-Effect
sars-cov-2,transmits,domestic cats,transmission of sars-cov-2 in domestic cats imposes a narrow bottleneck.,Transmit-Infect
baricitinib,affects,immune dysregulation,baricitinib restrains the immune dysregulation in covid-19 patients.,Cause-Effect
remdesivir,affects,middle east respiratory syndrome coronavirus,the antiviral compound remdesivir potently inhibits rna-dependent rna polymerase from middle east respiratory syndrome coronavirus,Cause-Effect
mhra,prevents,recruitment to covid-19 hydroxychloroquine trials,mhra suspends recruitment to covid-19 hydroxychloroquine trials,Cause-Effect
transcriptional profiling,shows,trpm5-expressing cells involved in viral infection in the olfactory epithelium,transcriptional profiling reveals trpm5-expressing cells involved in viral infection in the olfactory epithelium,Discovery-Validation
trpm5-expressing cells,causes,viral infection in the olfactory epithelium,transcriptional profiling reveals trpm5-expressing cells involved in viral infection in the olfactory epithelium,Cause-Effect
aprotinin,prevents,sars-cov-2 replication,aprotinin inhibits sars-cov-2 replication,Cause-Effect
homozygous l-sign,affects,sars coronavirus infection,homozygous l-sign plays a protective role in sars coronavirus infection,Cause-Effect
hydroxychloroquine,affects,covid-19,la doctor seeing 100% success with hydroxychloroquine and zinc to treat covid-19,Cause-Effect
zinc,affects,covid-19,la doctor seeing 100% success with hydroxychloroquine and zinc to treat covid-19,Cause-Effect
remdesivir,affects,severe covid-19,"68 per cent of patients hospitalized for severe covid-19, who were treated with compassionate-use remdesivir, showed clinical improvement",Cause-Effect
immune cell activation in severe covid-19,related_to,lupus,immune cell activation in severe covid-19 resembles lupus.,Association
gaps in early surveillance,causes,record-breaking us trajectory,gaps in early surveillance of coronavirus led to record-breaking us trajectory,Cause-Effect
human soluble ace2,affects,remdesivir in sars-cov-2 infection,human soluble ace2 improves the effect of remdesivir in sars-cov-2 infection,Cause-Effect
ivermectin,affects,covid-19,a five day course of ivermectin for the treatment of covid-19 may reduce the duration of illness,Cause-Effect
il-6 trans-signaling,causes,plasminogen activator inhibitor-1,il-6 trans-signaling induces plasminogen activator inhibitor-1 from vascular endothelial cells in cytokine release syndrome,Cause-Effect
fauci,announces,he wears a mask to be a symbol of what 'you should be doing,fauci says he wears a mask to be a symbol of what 'you should be doing,Discovery-Validation
mask,isa,symbol of what 'you should be doing,fauci says he wears a mask to be a symbol of what 'you should be doing,Others
johnson & johnson,prevents,covid-19 vaccine trials,johnson & johnson pauses covid-19 vaccine trials due to sick subject,Cause-Effect
wuhan study,shows,asymptomatic cases may not be infectious,"asymptomatic cases may not be infectious, wuhan study indicates.",Discovery-Validation
ace2 protein,related_to,respiratory tract epithelia,robust ace2 protein expression localizes to the motile cilia of the respiratory tract epithelia and is not increased by ace inhibitors or angiotensin receptor blockers,Association
ace inhibitors,affects,ace2 protein expression,robust ace2 protein expression localizes to the motile cilia of the respiratory tract epithelia and is not increased by ace inhibitors or angiotensin receptor blockers,Cause-Effect
angiotensin receptor blockers,affects,ace2 protein expression,robust ace2 protein expression localizes to the motile cilia of the respiratory tract epithelia and is not increased by ace inhibitors or angiotensin receptor blockers,Cause-Effect
covid-19 immune signature,related_to,sepsis-like traits,a consensus covid-19 immune signature combines immuno-protection with discrete sepsis-like traits associated with poor prognosis,Association
sepsis-like traits,affects,poor prognosis,a consensus covid-19 immune signature combines immuno-protection with discrete sepsis-like traits associated with poor prognosis,Cause-Effect
evolutionary arms race,related_to,genetic diversity,evolutionary arms race between virus and host drives genetic diversity in bat sars related coronavirus spike genes,Association
bat sars related coronavirus,related_to,spike genes,evolutionary arms race between virus and host drives genetic diversity in bat sars related coronavirus spike genes,Association
convalescent plasma,treats,covid-19,convalescent plasma to treat covid-19,Treatment
covid-19 vaccine rollout,affects,hispanic communities,"black, hispanic communities struggle in covid-19 vaccine rollout across the u.s.",Cause-Effect
systematic analysis,studies,innate immune antagonism,systematic analysis of innate immune antagonism reveals vulnerabilities of sars-cov-2,Research-Test
endocrine therapy,treats,covid-19,trial to promote recovery from covid-19 with ivermectin or endocrine therapy,Treatment
coronavirus vaccines,develops,safety trials,coronavirus vaccines leap through safety trials,Research-Test
favipiravir,affects,80% efficacy,"latest data show above 80% efficacy for favipiravir in covid-19, say rdif and chemrar",Cause-Effect
rdif,studies,favipiravir,"latest data show above 80% efficacy for favipiravir in covid-19, say rdif and chemrar",Research-Test
chemrar,studies,favipiravir,"latest data show above 80% efficacy for favipiravir in covid-19, say rdif and chemrar",Research-Test
singapore medtech firm,studies,antibody test,"antibody test for covid-19 could help to control virus spread, says singapore medtech firm",Research-Test
covid-19 seroprevalence among healthcare workers of a large covid hospital in rome,shows,strengths and limits of two different serological tests,covid-19 seroprevalence among healthcare workers of a large covid hospital in rome reveals strengths and limits of two different serological tests.,Discovery-Validation
covid-19,infects,healthcare workers of a large covid hospital in rome,covid-19 seroprevalence among healthcare workers of a large covid hospital in rome reveals strengths and limits of two different serological tests.,Transmit-Infect
identification of sars-cov-2 vaccine epitopes,predicts,long-term population-scale immunity,identification of sars-cov-2 vaccine epitopes predicted to induce long-term population-scale immunity,Predicts
sars-cov-2,infects,monocytes and macrophages,"sars-cov-2 infects monocytes and macrophages, without cytopathic effect",Transmit-Infect
ace-i and arbs,increase,covid-19 mortality,esc council on hypertension says ace-i and arbs do not increase covid-19 mortality,Cause-Effect
intestinal inflammation,regulates,expression of ace2 and tmprss2,intestinal inflammation modulates the expression of ace2 and tmprss2 and potentially overlaps with the pathogenesis of sars-cov-2 related disease,Regulation
sars-cov-2 simulations,shows,cryptic pockets across the proteome,sars-cov-2 simulations go exascale to capture spike opening and reveal cryptic pockets across the proteome,Discovery-Validation
location of test sites,affects,covid-19 racial disparities,covid-19 racial disparities could be worsened by the location of test sites,Cause-Effect
poolkeh,studies,optimal pooling strategy,poolkeh finds the optimal pooling strategy for a population-wide covid-19 testing,Research-Test
three uk centres,studies,cellular immune response,the cellular immune response to covid-19 deciphered by single cell multi-omics across three uk centres.,Research-Test
strike,affects,east bay hospitals,nurses and other union workers authorize oct. 7 strike against east bay hospitals,Cause-Effect
sars-cov-2 orf8,related_to,immune evasion,"structure of sars-cov-2 orf8, a rapidly evolving coronavirus protein implicated in immune evasion",Association
nafamostat,affects,transmission of new coronavirus infection,"identification of an existing japanese pancreatitis drug, nafamostat, which is expected to prevent the transmission of new coronavirus infection",Cause-Effect
sars-cov-2 infection,causes,severe lung inflammation,sars-cov-2 infection of human ace2-transgenic mice causes severe lung inflammation and impaired function,Cause-Effect
sars-cov-2 infection,causes,impaired function,sars-cov-2 infection of human ace2-transgenic mice causes severe lung inflammation and impaired function,Cause-Effect
thrombotic microvascular injury,related_to,thrombotic microangiopathy,thrombotic microvascular injury is not mediated by thrombotic microangiopathy despite systemic complement activation in covid-19 patients,Association
serum amyloid p,affects,lung inflammation,"serum amyloid p inhibits single-stranded rna-induced lung inflammation, lung damage, and cytokine storm in mice",Cause-Effect
serum amyloid p,affects,lung damage,"serum amyloid p inhibits single-stranded rna-induced lung inflammation, lung damage, and cytokine storm in mice",Cause-Effect
serum amyloid p,affects,cytokine storm,"serum amyloid p inhibits single-stranded rna-induced lung inflammation, lung damage, and cytokine storm in mice",Cause-Effect
fda,approves,chloroquine phosphate,fda approves the emergency use of chloroquine phosphate and hydroxychloroquine sulfate for treatment of covid-19,Regulation
fda,approves,hydroxychloroquine sulfate,fda approves the emergency use of chloroquine phosphate and hydroxychloroquine sulfate for treatment of covid-19,Regulation
2019-ncov,transmits,cross-species transmission,cross-species transmission of the newly identified coronavirus 2019-ncov,Transmit-Infect
recurrent deletions,causes,antibody escape,recurrent deletions in the sars-cov-2 spike glycoprotein drive antibody escape.,Cause-Effect
covid tests,affects,not fit for purpose,landmark legal ruling finds that covid tests are not fit for purpose.,Cause-Effect
genomic epidemiology,studies,superspreading events,genomic epidemiology of superspreading events in austria reveals mutational dynamics and transmission properties of sars-cov-2,Research-Test
mutational dynamics,studies,sars-cov-2,genomic epidemiology of superspreading events in austria reveals mutational dynamics and transmission properties of sars-cov-2,Research-Test
transmission properties,studies,sars-cov-2,genomic epidemiology of superspreading events in austria reveals mutational dynamics and transmission properties of sars-cov-2,Research-Test
covid-19,transmits,dogs,unfounded fears that dogs can spread covid-19 can cause harm,Transmit-Infect
sars-cov-2 infection,causes,transient olfactory dysfunction in mice,sars-cov-2 infection causes transient olfactory dysfunction in mice,Cause-Effect
therapeutic anticoagulation,affects,decreased mortality,therapeutic anticoagulation is associated with decreased mortality in mechanically ventilated covid-19 patients,Cause-Effect
sars-cov-2,related_to,unrestricted bioweapon,sars-cov-2 is an unrestricted bioweapon,Association
antibody responses,affects,covid-19 outcome,kinetics of antibody responses dictate covid-19 outcome.,Cause-Effect
raspberry pi,improves,ventilator,raspberry pi about to boost ventilators for coronavirus victims,Cause-Effect
mosaic rbd nanoparticles,affects,neutralizing antibodies,mosaic rbd nanoparticles elicit neutralizing antibodies against sars-cov-2 and zoonotic coronaviruses,Cause-Effect
exposure dose,affects,vaccine efficacy,limited available evidence supports theoretical predictions of reduced vaccine efficacy at higher exposure dose,Cause-Effect
abnormal liver tests,related_to,poor covid-19 outcomes,strong link found between abnormal liver tests and poor covid-19 outcomes,Association
autophagy modulators,prevents,sars-cov-2 cytopathic effect,the sars-cov-2 cytopathic effect is blocked with autophagy modulators,Cause-Effect
regn-cov2 antibodies,affects,sars-cov-2 infection in rhesus macaques and hamsters,regn-cov2 antibodies prevent and treat sars-cov-2 infection in rhesus macaques and hamsters,Cause-Effect
wearing eyeglasses,protects,sars-cov-2,wearing eyeglasses protects against sars-cov-2,Treatment
intranasal chadox1 ncov-19/azd1222 vaccination,increase,shedding of sars-cov-2 d614g in rhesus macaques,intranasal chadox1 ncov-19/azd1222 vaccination reduces shedding of sars-cov-2 d614g in rhesus macaques.,Cause-Effect
extraction-free sars-cov-2 rt-qpcr,causes,massive and rapid covid-19 testing,massive and rapid covid-19 testing is feasible by extraction-free sars-cov-2 rt-qpcr,Cause-Effect
dutch scientists,develops,new role for ace2 receptors in covid disease process,dutch scientists find new role for ace2 receptors in covid disease process,Research-Test
ohio health official,predicts,"100,000 people in state have coronavirus","ohio health official estimates 100,000 people in state have coronavirus",Predicts
google,announces,covid-19 community mobility reports,google releases covid-19 community mobility reports in an effort to show local movement trends during pandemic,Discovery-Validation
covid-19 infection,increase,exhaled aerosol,"exhaled aerosol increases with covid-19 infection, and risk factors of disease symptom severity",Cause-Effect
fox news,stops,hydroxychloroquine,fox news falls out of love with hydroxychloroquine,Cause-Effect
autopsies,shows,varied forms of heart damage in covid-19 patients,autopsies show varied forms of heart damage in covid-19 patients,Discovery-Validation
genomic study,shows,natural origin of covid-19,genomic study points to natural origin of covid-19,Discovery-Validation
colchicine,treats,covid-19,colchicine to be investigated as a possible treatment for covid-19 in the recovery trial,Treatment
alphavirus-derived replicon rna vaccine,causes,sars-cov-2 neutralizing antibody and t cell responses in mice and nonhuman primates,an alphavirus-derived replicon rna vaccine induces sars-cov-2 neutralizing antibody and t cell responses in mice and nonhuman primates,Cause-Effect
coronavirus fears,causes,golden age of hand-washing psas,coronavirus fears have led to a golden age of hand-washing psas,Cause-Effect
human brain organoid model,shows,neuroinvasive potential of sars-cov-2,neuroinvasive potential of sars-cov-2 revealed in a human brain organoid model,Discovery-Validation
host-coronavirus protein interaction networks,shows,pan-viral disease mechanisms,comparative host-coronavirus protein interaction networks reveal pan-viral disease mechanisms,Discovery-Validation
breakthrough needle-less vaccine,helps,mass distribution,breakthrough needle-less vaccine could help in mass distribution,Provision-Support
recovery of monocyte exhaustion,related_to,resolution of lung injury in covid-19 convalescence,recovery of monocyte exhaustion is associated with resolution of lung injury in covid-19 convalescence.,Association
imperial college mrna vaccine technology,protects,future pandemics,imperial college mrna vaccine technology could protect against future pandemics,Treatment
indomethacin,treats,sars coronavirus,indomethacin has a potent antiviral activity against sars coronavirus,Treatment
adjuvant-free nanofiber vaccine,causes,situ lung dendritic cell activation and th17 responses,adjuvant-free nanofiber vaccine induces in situ lung dendritic cell activation and th17 responses,Cause-Effect
fda,prevents,hydroxychloroquine for covid-19,the fda has canceled emergency use of hydroxychloroquine for covid-19,Cause-Effect
antibody testing,improves,power and accuracy of covid-19-prevention trials,antibody testing will enhance the power and accuracy of covid-19-prevention trials,Cause-Effect
cytodyn,announces,strong results from eind covid-19 patients treated with leronlimab,cytodyn reports strong results from eind covid-19 patients treated with leronlimab; majority of patients have demonstrated remarkable recoveries,Discovery-Validation
sars-cov-2,infects,brain choroid plexus,sars-cov-2 infects brain choroid plexus and disrupts the blood-csf-barrier,Transmit-Infect
coronial autopsies,develops,indirect effects of covid-19,coronial autopsies identify the indirect effects of covid-19,Research-Test
3blue1brown,develops,detailed simulations of an epidemic,3blue1brown provided detailed simulations of an epidemic,Research-Test
fauci,predicts,us deaths from coronavirus,fauci predicts us deaths from coronavirus,Predicts
leronlimab,affects,reduced pulmonary inflammation,"leronlimab used in seven patients in nyc with severe covid-19 demonstrated promise with two intubated patients in icu, removed from icu and extubated with reduced pulmonary inflammation",Cause-Effect
sars-cov-2-like virus,identifies,captive pangolins from guangdong,the sars-cov-2-like virus found in captive pangolins from guangdong should be better sequenced.,Discovery-Validation
high dose vitamin d,improves,total serum antioxidant capacity,high dose vitamin d improves total serum antioxidant capacity and icu outcome in critically ill patients.,Cause-Effect
high dose vitamin d,improves,icu outcome in critically ill patients,high dose vitamin d improves total serum antioxidant capacity and icu outcome in critically ill patients.,Cause-Effect
bifidobacterial protein,increase,inflammation in covid-19,a bifidobacterial protein that can reduce inflammation in covid-19 found by a rudn geneticist,Cause-Effect
rudn geneticist,develops,bifidobacterial protein,a bifidobacterial protein that can reduce inflammation in covid-19 found by a rudn geneticist,Research-Test
spike-antagonistic peptide,improves,sars-cov-2 spike protein,sars-cov-2 spike protein promotes hyper-inflammatory response that can be ameliorated by spike-antagonistic peptide and fda-approved er stress and map kinase inhibitors in vitro,Cause-Effect
fda-approved er stress and map kinase inhibitors in vitro,improves,sars-cov-2 spike protein,sars-cov-2 spike protein promotes hyper-inflammatory response that can be ameliorated by spike-antagonistic peptide and fda-approved er stress and map kinase inhibitors in vitro,Cause-Effect
mast cells,announces,histamine,mast cells activated by sars-cov-2 release histamine which increases il-1 levels causing cytokine storm and inflammatory reaction in covid-19,Discovery-Validation
histamine,increase,il-1 levels,mast cells activated by sars-cov-2 release histamine which increases il-1 levels causing cytokine storm and inflammatory reaction in covid-19,Cause-Effect
replication in airway cells,causes,transmission,the furin cleavage site of sars-cov-2 spike protein is a key determinant for transmission due to enhanced replication in airway cells .,Cause-Effect
furin cleavage site of sars-cov-2 spike protein,increase,replication in airway cells,the furin cleavage site of sars-cov-2 spike protein is a key determinant for transmission due to enhanced replication in airway cells .,Cause-Effect
sars-cov-2 d614g variant,shows,enhanced replication ex vivo,sars-cov-2 d614g variant exhibits enhanced replication ex vivo and earlier transmission in vivo,Discovery-Validation
sars-cov-2 d614g variant,shows,earlier transmission in vivo,sars-cov-2 d614g variant exhibits enhanced replication ex vivo and earlier transmission in vivo,Discovery-Validation
orf3b,shows,late sars-cov-2 infection,orf8 and orf3b antibodies are accurate serological markers of early and late sars-cov-2 infection,Discovery-Validation
plasma from recovered covid19 subjects,prevents,spike protein binding to ace2,plasma from recovered covid19 subjects inhibits spike protein binding to ace2 in a microsphere-based inhibition assay,Cause-Effect
hydroxychloroquine,improves,airflow,hydroxychloroquine improves airflow and lowers circulating ige levels in subjects with moderate symptomatic asthma,Cause-Effect
hydroxychloroquine,increase,circulating ige levels in subjects with moderate symptomatic asthma,hydroxychloroquine improves airflow and lowers circulating ige levels in subjects with moderate symptomatic asthma,Cause-Effect
mrna vaccine,treats,covid-19,moderna has completed case accrual for first planned interim analysis of its mrna vaccine against covid-19,Treatment
male sex hormones,helps,coronavirus infiltrate human cells,male sex hormones appear to help the coronavirus infiltrate human cells,Provision-Support
il-6,isa,novel signature,il-6 : a novel signature associated with covid-19 disease progression and development of anti-sars-cov-2 antibodies,Others
il-6,association,covid-19 disease progression,il-6 : a novel signature associated with covid-19 disease progression and development of anti-sars-cov-2 antibodies,Association
il-6,association,development of anti-sars-cov-2 antibodies,il-6 : a novel signature associated with covid-19 disease progression and development of anti-sars-cov-2 antibodies,Association
slovakia,tests,all adults for sars-cov-2,slovakia to test all adults for sars-cov-2,Research-Test
potently neutralizing human antibodies,prevents,sars-cov-2 receptor binding,potently neutralizing human antibodies that block sars-cov-2 receptor binding and protect animals,Cause-Effect
potently neutralizing human antibodies,protects,animals,potently neutralizing human antibodies that block sars-cov-2 receptor binding and protect animals,Treatment
variant of covid-19 virus,identifies,"columbus , ohio","researchers discover new variant of covid-19 virus in columbus , ohio.",Discovery-Validation
coronavirus vaccine,shows,promising early results,coronavirus vaccine shows promising early results in china,Discovery-Validation
caspase-8 activation,causes,inflammatory responses,sars-cov-2 triggers inflammatory responses and cell death through caspase-8 activation,Cause-Effect
caspase-8 activation,causes,cell death,sars-cov-2 triggers inflammatory responses and cell death through caspase-8 activation,Cause-Effect
sars-cov-2,causes,caspase-8 activation,sars-cov-2 triggers inflammatory responses and cell death through caspase-8 activation,Cause-Effect
anakinra,prevents,respiratory failure in covid-19,anakinra to prevent respiratory failure in covid-19,Cause-Effect
virus,infects,heart cells,virus can infect heart cells in lab dish,Transmit-Infect
alpha-1 antitrypsin,prevents,sars-cov-2 infection,alpha-1 antitrypsin inhibits sars-cov-2 infection,Cause-Effect
high sars-cov-2 viral load,association,worse clinical outcome of covid-19 disease,high sars-cov-2 viral load is associated with a worse clinical outcome of covid-19 disease,Association
plasmin cascade,regulates,thrombolytic events,plasmin cascade mediates thrombolytic events in sars-cov-2 infection via complement and platelet-activating systems,Regulation
a systematic review,develops,a wide-gap between covid-19 in humans and animal models,a systematic review uncovers a wide-gap between covid-19 in humans and animal models,Research-Test
cardiac sars-cov-2 infection,association,distinct transcriptomic changes within the heart,cardiac sars-cov-2 infection is associated with distinct transcriptomic changes within the heart.,Association
in a few weeks,announces,coronavirus vaccine,"in a few weeks , we will have coronavirus vaccine '",Discovery-Validation
indiana,prevents,all non-essential gatherings over 250 people,indiana bans all non-essential gatherings over 250 people,Cause-Effect
covid-19 vaccine,causes,infertility in women,a false post on social media claims covid-19 vaccine causes infertility in women.,Cause-Effect
il-6 inhibition,affects,covid-19,il-6 inhibition could be key to covid-19,Cause-Effect
pompeo,announces,chinese labs created covid-19,pompeo saying that chinese labs created covid-19 .,Discovery-Validation
interferons and viruses,causes,a novel truncated ace2 isoform,interferons and viruses induce a novel truncated ace2 isoform and not the full-length sars-cov-2 receptor,Cause-Effect
interferons and viruses,causes,the full-length sars-cov-2 receptor,interferons and viruses induce a novel truncated ace2 isoform and not the full-length sars-cov-2 receptor,Cause-Effect
neutralizing antibodies,correlation,protection from sars-cov-2 in humans during a fishery vessel outbreak with high attack rate,neutralizing antibodies correlate with protection from sars-cov-2 in humans during a fishery vessel outbreak with high attack rate,Association
covid-19 infections,affects,the heart,covid-19 infections leave an impact on the heart,Cause-Effect
mask use in public venues,protects,sars-cov1,"sars-cov1 frequent mask use in public venues , frequent hand washing , and disinfecting the living quarters were significant protective factors",Treatment
